Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,77551268.0,0.791,0.592,0.862
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,70964809.0,0.672,0.754,0.735
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,68843686.0,0.758,0.373,0.448
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,62934980.0,0.653,0.55,0.809
This Is Me,2xGjteMU3E1tkEPVFBO08U,Keala Settle,58140658.0,0.284,0.1,0.704
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,55946825.0,0.68,0.341,0.578
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,52452013.0,0.836,0.51,0.544
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,50258292.0,0.74,0.473,0.613
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,50004042.0,0.626,0.534,0.88
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,49677038.0,0.835,0.35,0.626
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,47265360.0,0.56,0.319,0.68
Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,46974845.0,0.755,0.755,0.599
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,45831297.0,0.816,0.65,0.726
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,44770715.0,0.801,0.754,0.795
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,44587083.0,0.884,0.342,0.559
Paradise,38zwkK6TtTjIW9tpYBfZ3D,George Ezra,44546469.0,0.642,0.913,0.881
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,44114633.0,0.737,0.565,0.636
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,43926067.0,0.781,0.486,0.768
Rewrite The Stars,630sXRhIcfwr2e4RdNtjKN,Zac Efron,42639372.0,0.684,0.284,0.619
Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,Drake,41068866.0,0.567,0.792,0.913
The Greatest Show,43ay9lQZ5rfNcOOHhRF2cM,Hugh Jackman,39097736.0,0.417,0.4,0.824
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,38220765.0,0.922,0.595,0.581
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,37892156.0,0.765,0.394,0.523
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,37857069.0,0.708,0.338,0.648
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,37796648.0,0.747,0.687,0.834
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,37484721.0,0.687,0.671,0.792
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,37360055.0,0.69,0.669,0.784
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,36787451.0,0.703,0.366,0.696
Barking,7amMgNDcObIDkIXv4xcvc2,Ramz,36389051.0,0.527,0.765,0.465
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,36078980.0,0.596,0.152,0.854
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,35961081.0,0.511,0.218,0.566
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,35600483.0,0.851,0.448,0.541
Lullaby,5xzCzOAOfRi4DOttSzvznR,Sigala,35185200.0,0.725,0.859,0.834
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,34101580.0,0.762,0.608,0.7
Answerphone (feat. Yxng Bane),1HagMz5nWk1HmevNCBOxF3,Banx & Ranx,34077006.0,0.671,0.454,0.834
2002,6SFStUDQZNaGPKWOx9ZiJB,Anne-Marie,33983279.0,0.697,0.603,0.683
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,33694440.0,0.724,0.435,0.647
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,33395137.0,0.556,0.291,0.538
A Million Dreams,0RoA7ObU6phWpqhlC9zH4Z,Ziv Zaifman,33029965.0,0.265,0.0998,0.312
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,32517671.0,0.854,0.294,0.569
Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,32473227.0,0.752,0.582,0.764
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,32471552.0,0.698,0.552,0.633
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,31974526.0,0.825,0.931,0.652
Jumanji,4PzsYXrHh4r2BxtpNjtvoF,B Young,31584122.0,0.791,0.603,0.473
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,31394838.0,0.757,0.693,0.748
I'll Be There,083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,31049956.0,0.623,0.4,0.851
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,30918845.0,0.834,0.446,0.73
German,7cwLbWHs42c8JmrW9BJZos,EO,30790285.0,0.862,0.852,0.583
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,30598806.0,0.921,0.711,0.537
Never Enough,0Gl5s8IhMmQE5YQwM8Qx1J,Loren Allred,30241947.0,0.277,0.227,0.394
