Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Í Átt Að Tunglinu,4wBY9TNUoxtKiRh4JjAS7x,JóiPé,1417384.0,0.909,0.408,0.547
Þráhyggja,1jgN7Uraxy2UgwAsGm5yo0,JóiPé,1113136.0,0.789,0.798,0.47
Clubbed Up,44W4kdPFIt6tRy4cw1mUA6,ClubDub;Ra:tio,971374.0,0.933,0.801,0.819
Upp Til Hópa,3bM0moaEM1h0qpuFhD08FY,Herra Hnetusmjör,907261.0,0.878,0.544,0.742
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,881706.0,0.68,0.341,0.578
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,856448.0,0.74,0.473,0.613
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,839348.0,0.758,0.373,0.448
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,757314.0,0.694,0.163,0.77
Út í geim,7nZ1rqv1zdUrQwxZxemCmn,Birnir,728299.0,0.706,0.52,0.502
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,721000.0,0.816,0.65,0.726
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,720724.0,0.791,0.592,0.862
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,648623.0,0.572,0.323,0.385
Já ég veit,6XSYMtvkAuRdnQm0F7i3Bq,Birnir,638945.0,0.817,0.711,0.477
Chuggedda (feat. Bergur Leó),59SApXnguIQX9gSQVH2Mhl,Aron Can,632644.0,0.781,0.399,0.629
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,625969.0,0.872,0.437,0.391
Ungir Strákar - Deep Mix,6WKPhv27SizinGt2nYk5Ar,Floni,596006.0,0.8,0.717,0.647
"Á sama tíma, á sama stað",1fhIiRojcUDnYk5NLGlnYL,Friðrik Dór,587110.0,0.422,0.0883,0.462
Efast,19CXlWSSQNtPAJP310krkV,JóiPé,585831.0,0.795,0.548,0.358
Sósa (feat. Aron Can),23mSS5VRynhYRs5TKOkoe5,JóiPé,585373.0,0.917,0.693,0.685
Heimaey,2nTC8shptYGD61YGUX6loJ,Friðrik Dór,581888.0,0.812,0.0796,0.43
OMG,54aOgpcb6kLIIrpdy5Ea0d,Floni,581665.0,0.719,0.852,0.737
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,574866.0,0.921,0.711,0.537
Aldrei Heim,1BwrZ8tZ3sN7cMqDoQ91hd,Aron Can,558791.0,0.788,0.268,0.508
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,547398.0,0.599,0.168,0.448
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,535841.0,0.511,0.218,0.566
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,534653.0,0.922,0.595,0.581
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,525346.0,0.884,0.342,0.559
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,523391.0,0.854,0.294,0.569
Dúfan mín,2HGWECjWeg54iK04fWYLH2,Logi Pedro,519729.0,0.716,0.509,0.534
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,505219.0,0.835,0.35,0.626
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,503456.0,0.901,0.329,0.522
Aldrei Heim,7DqZo3cXlPZRxdQcDu56mw,Aron Can,500889.0,0.788,0.268,0.508
Fýlaða,4sqD9XT0PJeBE7J38EaKAB,Svanur,489796.0,0.737,0.63,0.796
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,481189.0,0.737,0.565,0.636
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,480601.0,0.781,0.486,0.768
Party,7n1zPrqGyMqNIpzFb9y1wC,Floni,480064.0,0.687,0.409,0.529
Perfect Duet (Ed Sheeran & Beyoncé),1bhUWB0zJMIKr9yVPrkEuI,Ed Sheeran,478420.0,0.587,0.356,0.299
Hetjan (feat. Herra Hnetusmjör),7GM3D2CyLuQ3QwsO7ZIee6,Huginn,468688.0,0.798,0.61,0.39
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,468474.0,0.834,0.446,0.73
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,465296.0,0.825,0.931,0.652
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,449883.0,0.765,0.394,0.523
Aftan (feat. Herra Hnetusmjör),6AWw9zP5MtKiSnxUZ9KIpC,Huginn,442624.0,0.864,0.718,0.689
Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,441838.0,0.681,0.476,0.372
Eina Sem Ég Vil,52oeIc4mgVs9J0o0QuZEag,ClubDub,434551.0,0.799,0.708,0.693
Vor í Vaglaskógi,2OdpZeTpnbqPqBrclk2pib,KALEO,425960.0,0.336,0.0756,0.345
Spurðu Um Mig (Ingi Bauer Remix),3b4nDw0EJPpYQVDBAFKcLx,Herra Hnetusmjör,425818.0,0.889,0.779,0.817
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,412985.0,0.585,0.129,0.52
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,411022.0,0.703,0.366,0.696
Afhverju,0H7viQFF4UbrZYLwH373nL,Birnir,402625.0,0.798,0.396,0.747
Hætti Ekki,1nkbdWUnxpxc7dFuxqzfjD,Huginn,397753.0,0.776,0.881,0.497
