Track Name,spotify_id,Artist,Streams
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,1643129.0
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,1362178.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,1326965.0
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,1047647.0
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,984771.0
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,969902.0
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,950998.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,924355.0
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,905488.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,903724.0
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,894628.0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,887422.0
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,886172.0
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,851086.0
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,840045.0
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,821779.0
Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel AA,810000.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,809164.0
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,802283.0
Bella,3xcCix7Jv1Rp90YVmgo35D,Wolfine,780312.0
Loca Remix,2CRbiMK0W14l71SpDKqKZM,KHEA,771604.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,766517.0
Toda - Remix,7nD2JPaxIKUdxd2UWgnaGL,Alex Rose,764096.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,741548.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,738951.0
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,721413.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,703379.0
Estamos Bien,7glCSQqV5o6NU88Cn4zPZn,Bad Bunny,703126.0
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,692398.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,683509.0
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,679668.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,672960.0
Robarte un Beso,0JcNysfWVWaMS7R6vzGB2k,Carlos Vives,649830.0
Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,637199.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,600678.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,584916.0
Asesina,6rbhaJsE4uLzpPf8WYSHDK,Brytiago,576970.0
Hipócrita,6XBjCetHKdO5L9cwMDVffw,Anuel AA,572681.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,559528.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,553539.0
Hookah & Sheridan s,3QfD4bxxkopZL7XZ8RaezH,Tommy Boysen,550392.0
El Color de Tus Ojos,1l77YWrGUp3qX3NS1rz7lq,Banda MS de Sergio Lizárraga,540525.0
BEBE,7ATATJztoWLcqDAcVVof0C,6ix9ine,539433.0
Corazón,4lESS6vuruP6a79KWRaQou,Maluma,537861.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,528186.0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,527356.0
Déjala Que Vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,Piso 21,525204.0
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,523464.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,522140.0
EL BAÑO (feat. Bad Bunny),2vvdTrdryjsl8DmPIMDWZU,Enrique Iglesias,519928.0
